停用词,来源,总词频,文档频率,文档占比,去除原因
一种,专利模板停用词,32763,9212,0.932294,专利模板词
包括,专利模板停用词,12141,8423,0.852444,专利模板词
通过,泛动作词,10317,5662,0.573019,泛动作词
公开,专利模板停用词,5740,5541,0.560773,专利模板词
进行,泛动作词,9960,5019,0.507945,泛动作词
所述,专利模板停用词,25472,4875,0.493371,专利模板词
本发明,专利模板停用词,7999,4477,0.453092,专利模板词
实用新型,专利模板停用词,7170,4330,0.438215,专利模板词
领域,专利模板停用词,4454,4259,0.431029,专利模板词
连接,结构词,13117,4197,0.424755,结构词
装置,专利模板停用词,19022,4107,0.415646,专利模板词
技术,专利模板停用词,5291,4055,0.410384,专利模板词
涉及,专利模板停用词,4639,3894,0.39409,专利模板词
设置,结构词,10143,3863,0.390952,结构词
方法,专利模板停用词,14181,3183,0.322133,专利模板词
技术领域,专利模板停用词,3185,3152,0.318996,专利模板词
固定,结构词,10427,3139,0.31768,结构词
提高,泛动作词,3614,2886,0.292076,泛动作词
安装,结构词,9521,2799,0.283271,结构词
提供,泛动作词,3249,2643,0.267483,泛动作词
平台,结构词,9490,2503,0.253314,结构词
实现,泛动作词,3475,2480,0.250987,泛动作词
用于,泛动作词,6165,2385,0.241372,泛动作词
生产,泛动作词,6182,2339,0.236717,泛动作词
能够,泛动作词,3477,2285,0.231252,泛动作词
可以,专利模板停用词,3250,2210,0.223662,专利模板词
设备,专利模板停用词,7597,2130,0.215565,专利模板词
第一,结构词,7004,2098,0.212327,结构词
系统,专利模板停用词,8611,1968,0.19917,专利模板词
以及,专利模板停用词,3040,1948,0.197146,专利模板词
基于,专利模板停用词,7154,1914,0.193705,专利模板词
同时,泛动作词,2124,1813,0.183483,泛动作词
之间,泛动作词,2411,1765,0.178626,泛动作词
内部,结构词,3425,1763,0.178423,结构词
设有,结构词,4665,1738,0.175893,结构词
结构,结构词,4083,1724,0.174476,结构词
具有,泛动作词,2941,1711,0.173161,泛动作词
使用,泛动作词,2580,1710,0.173059,泛动作词
机构,结构词,7126,1689,0.170934,结构词
第二,结构词,4587,1683,0.170327,结构词
从而,外部中文停用词表,2072,1661,0.1681,通用停用词
根据,泛动作词,2310,1477,0.149479,泛动作词
问题,外部中文停用词表,1665,1451,0.146847,通用停用词
表面,结构词,2919,1343,0.135917,结构词
属于,专利模板停用词,1329,1319,0.133489,专利模板词
转动,外部中文停用词表,3014,1318,0.133387,通用停用词
有效,外部中文停用词表,1565,1297,0.131262,通用停用词
顶部,结构词,2453,1290,0.130554,结构词
底部,结构词,2011,1285,0.130048,结构词
利用,泛动作词,1954,1280,0.129542,泛动作词
移动,外部中文停用词表,3298,1279,0.12944,通用停用词
支撑,结构词,3675,1240,0.125493,结构词
一侧,结构词,2069,1235,0.124987,结构词
组件,结构词,5293,1233,0.124785,结构词
避免,泛动作词,1428,1219,0.123368,泛动作词
过程,泛动作词,1552,1208,0.122255,泛动作词
分别,泛动作词,1611,1200,0.121445,泛动作词
处理,外部中文停用词表,2735,1139,0.115272,通用停用词
解决,泛动作词,1215,1120,0.113349,泛动作词
使得,外部中文停用词表,1489,1107,0.112033,通用停用词
位置,结构词,1792,1060,0.107277,结构词
得到,外部中文停用词表,1697,1029,0.104139,通用停用词
具体,外部中文停用词表,1062,1022,0.103431,通用停用词
驱动,泛动作词,2524,1005,0.10171,泛动作词
方便,外部中文停用词表,1266,1004,0.101609,通用停用词
两侧,结构词,1368,992,0.100395,结构词
应用,外部中文停用词表,2277,956,0.096751,通用停用词
两个,外部中文停用词表,1949,952,0.096347,通用停用词
模块,结构词,5094,948,0.095942,结构词
工作,结构词,1736,919,0.093007,结构词
调节,泛动作词,2427,910,0.092096,泛动作词
加工,泛动作词,2788,905,0.09159,泛动作词
对应,外部中文停用词表,1495,902,0.091286,通用停用词
其中,专利模板停用词,1035,899,0.090983,专利模板词
