模型,参数组,n_clusters,max_features,max_df,实际主题数,最大主题占比,最小主题占比,低支持主题数,主题规模均衡度,低支持阈值,TOP5词总数,TOP5词去重数,TOP5重复词数,重复词,轮廓系数,Calinski-Harabasz,Davies-Bouldin,n_components,nr_topics,dim_size,word_select_method
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",10.0,5000.0,0.85,10,0.2596,0.0254,0,0.9123,197,50,46,4,底座、支架、数据、电机,0.0383,208.49,3.7398,,,,
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",20.0,5000.0,0.85,20,0.2099,0.0172,3,0.9176,197,100,81,19,信息、原料、复合、存储介质、底座、支架、效率、数据、材料、模型、电机、目标、视觉、限位,0.0477,159.14,3.2183,,,,
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",30.0,5000.0,0.85,30,0.176,0.0115,10,0.9237,197,150,116,34,人工智能、信息、储能、原料、太阳能、存储介质、实时、底座、支架、效果、数据、材料、模型、用户、电机、电池、电源、目标、联网、视觉、限位,0.055,136.08,2.8232,,,,
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",,5000.0,0.85,10,0.2198,0.0403,0,0.9336,197,50,48,2,支架、数据,0.2922,2321.72,0.937,10.0,,,
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",,5000.0,0.85,20,0.0852,0.0228,0,0.9755,197,100,94,6,信息、图像、壳体、材料、用户、立柱,0.1522,967.13,1.0748,20.0,,,
TF-IDF + NMF,"T=30, max_features=5000, max_df=0.85",,5000.0,0.85,30,0.074,0.0009,4,0.9711,197,150,138,12,上端、信息、喷头、太阳能、工艺、支撑杆、散热、材料、用户,0.0969,578.09,1.1497,30.0,,,
Sentence-BERT + CETopic,"T=10, dim=5, method=tfidf_idfi",,,,10,0.2139,0.016,3,0.8963,197,44,41,3,数据、电机、石墨,0.4385,9879.46,0.7786,,10.0,5.0,tfidf_idfi
Sentence-BERT + CETopic,"T=10, dim=2, method=tfidf_idfi",,,,10,0.1709,0.0217,0,0.9493,197,45,39,6,光伏、数据、汽车、电机、石墨、联网,0.4452,15753.21,0.7596,,10.0,2.0,tfidf_idfi
Sentence-BERT + CETopic,"T=10, dim=-1, method=tfidf_idfi",,,,10,0.1548,0.0211,0,0.9673,197,43,39,4,光伏、数据、联网,0.0429,316.66,3.3142,,10.0,-1.0,tfidf_idfi
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",,,,20,0.0868,0.0116,4,0.9637,197,93,82,11,光伏、数据、新能源、模具、汽车、石墨、联网,0.3779,10222.95,0.8774,,20.0,5.0,tfidf_idfi
Sentence-BERT + CETopic,"T=20, dim=2, method=tfidf_idfi",,,,20,0.0821,0.0162,3,0.9752,197,93,81,12,光伏、数据、新能源、模具、汽车、电机、石墨、联网,0.4326,19200.13,0.7202,,20.0,2.0,tfidf_idfi
Sentence-BERT + CETopic,"T=20, dim=-1, method=tfidf_idfi",,,,20,0.0986,0.0188,3,0.9629,197,98,84,14,光伏、农药、支架、数据、新能源、汽车、电机、石墨、联网,0.0441,201.15,3.2328,,20.0,-1.0,tfidf_idfi
Sentence-BERT + CETopic,"T=30, dim=5, method=tfidf_idfi",,,,30,0.0571,0.009,7,0.9762,197,143,129,14,光伏、存储介质、数据、新能源、模具、石墨、联网,0.3929,10160.36,0.9067,,30.0,5.0,tfidf_idfi
Sentence-BERT + CETopic,"T=30, dim=2, method=tfidf_idfi",,,,30,0.0501,0.0159,5,0.9864,197,143,123,20,业务、光伏、图像、存储介质、数据、新能源、模具、汽车、电池、石墨、网络、联网,0.4463,22064.02,0.6915,,30.0,2.0,tfidf_idfi
Sentence-BERT + CETopic,"T=30, dim=-1, method=tfidf_idfi",,,,30,0.0569,0.0169,6,0.9849,197,146,126,20,业务、光伏、农药、存储介质、支架、数据、新能源、材料、模具、汽车、电机、目标、石墨、联网,0.0403,153.01,3.3294,,30.0,-1.0,tfidf_idfi
