停用词,来源,总词频,文档频率,文档占比,去除原因
一种,专利模板停用词,33130,9321,0.9321,专利模板词
包括,专利模板停用词,12279,8524,0.8524,专利模板词
通过,泛动作词,10444,5734,0.5734,泛动作词
公开,专利模板停用词,5816,5614,0.5614,专利模板词
进行,泛动作词,10115,5082,0.5082,泛动作词
所述,专利模板停用词,25711,4926,0.4926,专利模板词
本发明,专利模板停用词,8117,4545,0.4545,专利模板词
实用新型,专利模板停用词,7232,4367,0.4367,专利模板词
领域,专利模板停用词,4516,4320,0.432,专利模板词
连接,结构壳词,13220,4236,0.4236,结构壳词
装置,专利模板停用词,19237,4149,0.4149,专利模板词
技术,专利模板停用词,5387,4122,0.4122,专利模板词
涉及,专利模板停用词,4710,3953,0.3953,专利模板词
设置,结构壳词,10251,3898,0.3898,结构壳词
方法,专利模板停用词,14412,3236,0.3236,专利模板词
技术领域,专利模板停用词,3231,3198,0.3198,专利模板词
固定,结构壳词,10500,3167,0.3167,结构壳词
提高,泛动作词,3648,2919,0.2919,泛动作词
安装,结构壳词,9628,2824,0.2824,结构壳词
提供,泛动作词,3288,2674,0.2674,泛动作词
平台,结构壳词,9679,2551,0.2551,结构壳词
实现,泛动作词,3545,2520,0.252,泛动作词
用于,泛动作词,6230,2413,0.2413,泛动作词
生产,泛动作词,6245,2361,0.2361,泛动作词
能够,泛动作词,3514,2313,0.2313,泛动作词
可以,专利模板停用词,3307,2247,0.2247,专利模板词
设备,专利模板停用词,7702,2159,0.2159,专利模板词
第一,结构壳词,7072,2116,0.2116,结构壳词
系统,专利模板停用词,8817,2009,0.2009,专利模板词
以及,专利模板停用词,3076,1975,0.1975,专利模板词
基于,专利模板停用词,7289,1950,0.195,专利模板词
同时,泛动作词,2152,1837,0.1837,泛动作词
之间,泛动作词,2435,1784,0.1784,泛动作词
内部,结构壳词,3471,1781,0.1781,结构壳词
设有,结构壳词,4682,1749,0.1749,结构壳词
结构,结构壳词,4117,1738,0.1738,结构壳词
具有,泛动作词,2975,1735,0.1735,泛动作词
使用,泛动作词,2619,1735,0.1735,泛动作词
机构,结构壳词,7185,1703,0.1703,结构壳词
第二,结构壳词,4638,1699,0.1699,结构壳词
从而,外部中文停用词表,2092,1678,0.1678,通用停用词
根据,泛动作词,2347,1504,0.1504,泛动作词
问题,外部中文停用词表,1681,1462,0.1462,通用停用词
表面,结构壳词,2964,1358,0.1358,结构壳词
属于,专利模板停用词,1347,1337,0.1337,专利模板词
转动,外部中文停用词表,3019,1322,0.1322,通用停用词
有效,外部中文停用词表,1586,1317,0.1317,通用停用词
一种基于,词频突变高频词,4272,1310,0.131,高频泛词
利用,泛动作词,1976,1300,0.13,泛动作词
